instruction,context,response,category
When did Virgin Australia start operating?,virgin australia the trade name of virgin australia airlin pty ltd i an australian base airlin it i the largest airlin by fleet size to us the virgin brand it commen servic on 31 august 2000 a virgin blue with two aircraft on a singl rout 3 it suddenli found itself a a major airlin in australia  domest market after the collaps of ansett australia in septemb 2001 the airlin ha sinc grown to directli serv 32 citi in australia from hub in brisban melbourn and sydnei 4,"Virgin Australia commenced services on 31 August 2000 as Virgin Blue, with two aircraft on a single route.",closed_qa
Which is a species of fish? Tope or Rope,,Tope,classification
Why can camels survive for long without water?,,Camels use the fat in their humps to keep them filled with energy and hydration for long periods of time.,open_qa
"Alice's parents have three daughters: Amy, Jessy, and what’s the name of the third daughter?",,The name of the third daughter is Alice,open_qa
When was Tomoaki Komorida born?,komorida wa born in kumamoto prefectur on juli 10 1981 after graduat from high school he join the j1 leagu club avispa fukuoka in 2000 although he debut a a midfield in 2001 he did not plai much and the club wa releg to the j2 leagu at the end of the 2001 season in 2002 he move to the j2 club oita trinita he becam a regular player a a defens midfield and the club won the championship in 2002 and wa promot in 2003 he plai mani match until 2005 in septemb 2005 he move to the j2 club montedio yamagata in 2006 he move to the j2 club vissel kobe although he becam a regular player a a defens midfield hi gradual wa plai les dure the summer in 2007 he move to the japan footbal leagu club rosso kumamoto later roasso kumamoto base in hi local region he plai a a regular player and the club wa promot to j2 in 2008 although he did not plai a much he still plai in mani match in 2010 he move to indonesia and join persela lamongan in juli 2010 he retur to japan and join the j2 club giravanz kitakyushu he plai often a a defens midfield and center back until 2012 when he retir 1,"Tomoaki Komorida was born on July 10,1981.",closed_qa
"If I have more pieces at the time of stalemate, have I won?",stalem i a situat in ches where the player whose turn it i to move i not in check and ha no legal move stalem result in a draw dure the endgam stalem i a resourc that can enab the player with the inferior posit to draw the game rather than lose 2 in more complex posit stalem i much rarer usual take the form of a swindl that succe onli if the superior side i inattent citat need stalem i also a common theme in endgam studi and other ches problem the outcom of a stalem wa standard a a draw in the 19th centuri befor thi standard it treatment vari wide includ be deem a win for the stalem player a half win for that player or a los for that player not be permit and resul in the stalem player miss a turn stalem rule vari in other game of the ches famili,"No. 
Stalemate is a drawn position. It doesn't matter who has captured more pieces or is in a winning position",information_extraction
"Given a reference text about Lollapalooza, where does it take place, who started it and what is it?",lollapalooza ˌlɒləpəˈluːzə lolla i an annual american four dai music festiv held in grant park in chicago it origin star a a tour event in 1991 but sever year later chicago becam it perman locat music genr includ but ar not limit to altern rock heavi metal punk rock hip hop and electron danc music lollapalooza ha also featur visual art nonprofit organ and polit organ the festiv held in grant park host an estim 400 000 peopl each juli and sell out annual 4 lollapalooza i on of the largest and most icon music festiv in the world and on of the longest run in the unite state 5 6 lollapalooza wa conceiv and creat in 1991 a a farewel tour by perri farrel singer of the group jane  addiction,"Lollapalooze is an annual musical festival held in Grant Park in Chicago, Illinois. It was started in 1991 as a farewell tour by Perry Farrell, singe of the group Jane's Addiction. The festival includes an array of musical genres including alternative rock, heavy metal, punk rock, hip hop, and electronic dance music. The festivals welcomes an estimated 400,000 people each year and sells out annually. Some notable headliners include: the Red Hot Chili Peppers, Chance the Rapper, Metallica, and Lady Gage. Lollapalooza is one of the largest and most iconic festivals in the world and a staple of Chicago.",closed_qa
Who gave the UN the land in NY to build their HQ,,John D Rockerfeller,open_qa
Why mobile is bad for human,,We are always engaged one phone which is not good.,brainstorming
Who was John Moses Browning?,john mose brow januari 23 1855 novemb 26 1926 wa an american firearm design who develop mani varieti of militari and civilian firearm cartridg and gun mechan mani of which ar still in us around the world he made hi first firearm at ag 13 in hi father  gun shop and wa awar the first of hi 128 firearm patent on october 7 1879 at the ag of 24 he i regar a on of the most success firearm design of the 19th and 20th centuri and pioneer the develop of modern repeat semi automat and automat firearm brow influen nearli all categori of firearm design especi the autoload of ammuni he inven or made signific improv to singl shot lever action and pump action rifl and shotgun he develop the first reliab and compact autoload pistol by inven the telescop bolt then integr the bolt and barrel shroud into what i known a the pistol slide brow  telescop bolt design i now found on nearli everi modern semi automat pistol a well a sever modern fulli automat weapon he also develop the first ga oper firearm the colt brow model 1895 machin gun a system that surpass mechan recoil oper to becom the standard for most high power self load firearm design worldwid he also made signific contribu to automat cannon develop brow  most success design includ the m1911 pistol the water cool m1917 the air cool m1919 and heavi m2 machin gun the m1918 brow automat rifl and the brow auto 5 the first semi automat shotgun some of these arm ar still manufactur often with onli minor chang in detail and cosmet to those assemb by brow or hi license the brow desig m1911 and hi power ar some of the most copi firearm in the world,"John Moses Browning is one of the most well-known designer of modern firearms.  He started building firearms in his father's shop at the age of 13, and was awarded his first patent when he was 24.

He  designed the first reliable automatic pistol, and the first gas-operated firearm, as well inventing or improving single-shot, lever-action, and pump-action rifles and shotguns.

Today, he is most well-known for the M1911 pistol, the Browning Automatic Rifle, and the Auto-5 shotgun, all of which are in still in current production in either their original design, or with minor changes.  His M1911 and Hi-Power pistols designs are some of the most reproduced firearms in the world today.",information_extraction
